Name,Calories,Protein,Carbs,Fat
Woda,0.0,0.0,0.0,0.0
Pomidor,19.0,0.9,4.1,0.2
Oliwa z oliwek,884.0,0.0,0.0,100.0
Pieprz czarny,251.0,10.4,63.8,3.3
Banan,89.0,1.1,22.8,0.2
Czosnek,152.0,6.4,32.6,0.5
Cebula (świeża),40.0,1.1,9.3,0.1
Jabłko (świeży owoc),57.0,0.3,13.8,0.2
Sól biała,0.0,0.0,0.0,0.0
Marchew (surowa),41.0,0.9,9.6,0.2
Ogórek,14.0,0.7,2.9,0.1
Sól morska,0.0,0.0,0.0,0.0
Płatki owsiane,389.0,16.9,66.3,6.9
Sok z cytryny,22.0,0.4,6.9,0.2
Chleb żytni razowy,227.0,5.9,51.2,1.7
Sałata,13.0,1.3,2.2,0.3
Papryka czerwona,26.0,1.0,6.0,0.3
Rzodkiewka,16.0,0.7,3.4,0.1
Miód pszczeli,319.0,0.3,79.4,0.0
Jogurt naturalny 2% tłuszczu,60.0,4.3,5.2,2.0
Ziemniaki,77.0,2.1,17.5,0.1
Ogórek kiszony,11.0,0.3,2.3,0.2
Bulion warzywny,6.0,0.2,1.0,0.1
Olej,884.0,0.0,0.0,100.0
Kurczak (pierś bez skóry),121.0,21.8,0.0,3.7
Cynamon,247.0,4.0,80.6,1.2
Mleko 2% tłuszczu,50.0,3.3,4.8,2.0
Seler (korzeń),42.0,1.5,9.2,0.3
Bułka grahamka,270.0,8.5,56.8,1.7
Pietruszka korzeń,49.0,2.6,10.5,0.5
Szczypiorek,35.0,4.1,4.2,0.8
Masło ekstra,748.0,0.7,0.7,82.5
Awokado,160.0,2.0,8.5,14.6
Cukier,400.0,0.0,100.0,0.0
Szpinak świeży,23.0,2.9,3.6,0.4
Kiwi,61.0,1.1,14.7,0.5
Jajo kurze (całe),143.0,12.6,0.0,9.5
Pomidor koktajlowy,18.0,0.1,4.0,0.1
Pomarańcza,47.0,0.9,11.8,0.1
Pietruszka liście,36.0,3.0,6.3,0.8
Jajko ugotowane na twardo,155.0,12.6,1.1,10.6
Ziemniaki gotowane,87.0,1.9,20.0,0.1
Rukola,25.0,2.6,3.7,0.7
Cukinia,17.0,1.2,3.1,0.3
Jajko,145.0,14.0,0.0,10.0
Jogurt grecki light,57.0,10.2,5.2,0.0
Rodzynki,299.0,3.1,79.2,0.5
Cebula (czerwona),32.0,1.2,6.1,0.4
Papryka (surowa),26.0,1.0,6.0,0.3
Oregano,265.0,9.0,68.9,4.3
Koperek,43.0,3.5,7.0,1.1
Gruszka (świeży owoc),58.0,0.4,15.4,0.1
Chleb graham,231.0,8.3,48.7,1.7
Brokuły,31.0,3.0,5.2,0.4
Sałata lodowa,14.0,0.9,3.0,0.1
Kawa parzona bez cukru,1.0,0.1,0.0,0.0
Śmietana 12% tłuszczu,134.0,2.8,4.3,12.0
Mandarynka,53.0,0.8,13.3,0.3
Kukurydza (konserwa),61.0,2.0,13.9,0.8
Truskawki,32.0,0.7,7.7,0.3
Słonecznik ziarno,584.0,20.8,20.0,51.5
Orzechy włoskie,654.0,15.2,13.7,65.2
Kawa z mlekiem (2 łyżki mleka 2%),7.0,0.4,0.5,0.2
Migdały,579.0,20.0,20.5,49.4
Kasza jaglana,378.0,11.0,72.9,4.2
Ksylitol cukier brzozowy,240.0,0.0,100.0,0.0
Masło śmietankowe,670.0,1.1,1.1,73.5
Bazylia - otarta,233.0,23.0,47.7,4.0
Herbata (parzona),1.0,0.1,0.3,0.0
"Mleko 0,5% tłuszczu",38.0,3.4,5.0,0.5
Kalafior,27.0,2.4,5.0,0.2
Kawa rozpuszczalna (bez cukru),2.0,0.1,0.3,0.0
Przecier pomidorowy,24.0,1.3,5.4,0.2
Jogurt naturalny,69.0,4.6,5.8,3.0
Masło 83%,753.0,0.0,0.0,83.0
Żurawina (suszona),308.0,0.2,82.4,0.5
Tymianek - otarty,270.0,10.0,60.0,0.0
Jogurt naturalny 0% tłuszczu,48.0,5.7,5.2,0.2
Oliwki zielone,132.0,1.4,3.8,12.7
Papryka chili,40.0,1.9,8.8,0.4
Serek wiejski,97.0,11.8,2.7,5.0
Por,29.0,2.2,5.7,0.3
Ser Gouda,356.0,25.0,2.2,27.0
"Mleko 1,5% tłuszczu",45.0,3.0,4.8,1.5
Chleb żytni,259.0,8.5,48.3,3.3
Kasza jaglana (ugotowana),119.0,3.5,24.0,1.0
Chleb,247.0,13.0,41.3,3.4
Miód,324.0,0.3,79.5,0.0
Herbata (parzona) - Lipton,4.0,0.4,0.0,0.0
Przyprawa kmin rzymski (mielony),375.0,17.8,44.2,22.3
Papryka (proszek),282.0,14.1,54.0,12.0
Ryż brązowy (ugotowany),112.0,2.3,23.5,0.8
Ocet balsamiczny,88.0,0.5,17.0,0.0
Musztarda,111.0,5.2,10.5,5.4
Czosnek granulowany,350.0,14.5,70.0,1.2
Serek wiejski lekki - Piątnica,81.0,11.0,2.4,3.0
Kawa z mlekiem (2 łyżki mleka 3.2%),9.0,0.4,0.7,0.5
Ser Mozzarella light,157.0,19.0,1.0,8.5
Łosoś wędzony,162.0,21.5,0.0,8.4
Śliwki suszone,240.0,2.2,63.9,0.4
Jajko kurze,139.0,12.5,0.6,9.7
Chleb pszenno-żytni,203.0,4.6,43.7,1.1
Makrela wędzona,222.0,20.7,0.0,15.2
Cytryna,29.0,1.1,9.0,0.3
Koncentrat pomidorowy,97.0,5.6,16.7,1.5
Herbata zielona (parzona),4.0,0.5,0.5,0.0
Twaróg chudy - Mlekopol,86.0,18.3,3.5,0.2
Pestki dyni,572.0,24.5,18.0,45.8
Makaron pełnoziarnisty (ugotowany),124.0,5.3,26.5,0.5
Kefir naturalny 2% tłuszczu,50.0,3.4,4.7,2.0
Ogórek konserwowy,11.0,0.3,2.3,0.2
Pieczarki świeże,22.0,3.1,3.3,0.3
Ser Feta,264.0,14.2,4.1,21.3
"Mleko 3,2% tłuszczu",61.0,3.2,4.8,3.2
Kiełki rzodkiewki,42.0,3.9,3.8,2.3
Ocet jabłkowy,21.0,0.0,0.9,0.0
Morele suszone,319.0,5.4,72.2,1.2
Bułka kajzerka,293.0,9.9,52.7,4.3
Roszponka,17.0,1.0,3.0,0.1
Ryż brązowy (nieugotowany),354.0,7.7,72.0,3.2
Brzoskwinia,39.0,0.9,9.5,0.3
Wiórki kokosowe,657.0,5.6,27.0,63.2
Cukier brązowy,380.0,0.1,98.1,0.0
Curry (potrawa),147.0,4.0,31.0,3.0
Kawa (rozpuszczona),2.0,0.2,0.3,0.0
Przyprawa Curry,325.0,14.3,55.8,14.0
Zioła prowansalskie,0.0,0.0,0.0,0.0
Ketchup,101.0,1.0,27.4,0.1
Papryka słodka (proszek),282.0,14.1,54.0,12.9
Proszek do pieczenia,51.0,1.4,11.0,0.2
Płatki owsiane górskie,376.0,11.9,62.4,7.2
Polędwica sopocka - Morliny,111.0,19.0,1.3,3.3
Olej,884.0,0.0,0.0,100.0
Rozmaryn świeży,127.0,3.3,20.5,5.8
Kawa Espresso,2.0,0.1,0.0,0.2
Kasza gryczana (ugotowana),92.0,3.4,19.9,0.6
Chleb razowy - Oskroba,199.0,7.0,38.0,1.0
Papryka chili (proszek),282.0,13.5,49.7,14.3
Szynka,96.0,17.0,0.0,3.0
Chleb pszenny,262.0,8.5,54.3,1.4
Sałata mix,18.0,0.8,2.3,0.1
Winogrona zielone,69.0,0.7,18.1,0.2
Indyk (pierś bez skóry),104.0,17.1,4.2,1.7
Ocet winny,19.0,0.0,5.9,0.0
Liść laurowy suszony,313.0,7.6,75.0,8.4
Kapusta kiszona,19.0,0.9,4.3,0.1
Wędlina z piersi indyka,90.0,19.1,1.9,0.7
Ryż biały (ugotowany),130.0,2.7,28.2,0.3
Pieczarka świeża,17.0,2.7,2.6,0.4
Papryka żółta,27.0,1.0,6.3,0.2
Bułka pszenna,271.0,7.3,58.3,1.4
Brokuły (gotowane bez soli),35.0,2.4,7.2,0.4
Chleb pszenny razowy,247.0,13.0,41.3,3.4
Mango,60.0,0.8,15.0,0.4
Ser Mozzarella light - Galbani,167.0,20.0,1.6,9.0
Kiełki lucerny,23.0,4.0,2.0,0.8
Szynka z indyka - Coop,126.0,18.0,2.0,4.8
Fasola czerwona (konserwa) - Red Kidney,114.0,7.2,15.8,1.1
Grejpfrut,32.0,0.6,8.1,0.1
"Szynka wieprzowa z tłuszczem, gotowana",232.0,16.9,1.0,18.1
Szynka z piersi kurczaka (delikatna),85.0,16.2,1.5,1.6
Kawa Latte,33.0,2.0,3.0,1.4
Jajko ugotowane na miękko,143.0,12.0,0.0,10.0
Papryka ostra (proszek),282.0,13.5,49.7,14.3
Szpinak BABY surowy,22.0,2.6,0.4,0.9
Gałka muszkatołowa (mielona),535.0,6.0,50.3,35.3
Seler (natka),14.0,0.7,3.0,0.2
Otręby pszenne,273.0,17.0,61.0,4.6
Ser Parmezan,452.0,41.5,0.1,32.0
Arbuz,30.0,0.6,7.6,0.2
